transaction_id,transaction_date,state,district,user_id,gender,age_group,bank_name,account_type,transaction_type,payment_method,upi_app,amount,merchant_category,is_government_payment,scheme_name,failure_status,device_type,internet_type
T0001,2025-01-29,Maharashtra,Mumbai,U1000,Male,35-44,PNB,Current,P2P,UPI,Paytm,2475,Bills,Yes,PMJDY,Failed,Mobile,5G
T0002,2025-02-21,Maharashtra,Ahmedabad,U1001,Female,45+,ICICI,Savings,BillPay,UPI,PhonePe,6994,Food,Yes,Subsidy,Failed,Mobile,3G
T0003,2025-01-06,Maharashtra,Mumbai,U1002,Female,35-44,Axis,JanDhan,BillPay,UPI,BHIM,1503,Transfer,No,Subsidy,Success,Desktop,4G
T0004,2025-01-24,Rajasthan,Bangalore,U1003,Female,35-44,PNB,Current,P2P,UPI,PhonePe,8096,Electronics,No,NULL,Failed,Mobile,4G
T0005,2025-03-28,Delhi,Chennai,U1004,Male,45+,HDFC,Current,P2P,UPI,PhonePe,8677,Food,No,NULL,Failed,Mobile,3G
T0006,2025-02-06,Bihar,Ahmedabad,U1005,Female,35-44,ICICI,Current,P2P,UPI,BHIM,1754,Electronics,Yes,PMJDY,Success,Mobile,Broadband
T0007,2025-03-14,Tamil Nadu,Patna,U1006,Female,25-34,ICICI,JanDhan,P2M,UPI,GPay,9529,Bills,Yes,PMJDY,Success,Mobile,4G
T0008,2025-02-20,Delhi,Kolkata,U1007,Female,25-34,PNB,JanDhan,BillPay,UPI,Paytm,3291,Food,Yes,NULL,Success,Desktop,3G
T0009,2025-02-23,Rajasthan,Patna,U1008,Female,18-24,Axis,Current,BillPay,UPI,GPay,6489,Bills,No,PMJDY,Success,Desktop,3G
T0010,2025-02-07,Tamil Nadu,Jaipur,U1009,Male,45+,SBI,JanDhan,P2M,UPI,BHIM,6631,Electronics,No,Subsidy,Failed,Mobile,4G
T0011,2025-03-17,Maharashtra,Mumbai,U1010,Female,45+,Axis,JanDhan,P2P,UPI,GPay,4676,Food,Yes,Subsidy,Success,Desktop,Broadband
T0012,2025-03-06,Bihar,Kolkata,U1011,Male,18-24,ICICI,JanDhan,P2M,UPI,PhonePe,2122,Transfer,No,PMJDY,Failed,Desktop,4G
T0013,2025-01-25,Rajasthan,Jaipur,U1012,Male,35-44,Axis,Current,P2P,UPI,PhonePe,3934,Food,No,PMJDY,Failed,Desktop,4G
T0014,2025-02-24,Gujarat,Bangalore,U1013,Male,18-24,SBI,Savings,BillPay,UPI,Paytm,5025,Transfer,No,PMJDY,Failed,Desktop,Broadband
T0015,2025-03-06,Rajasthan,Jaipur,U1014,Female,18-24,ICICI,Savings,BillPay,UPI,BHIM,1097,Food,No,NULL,Success,Desktop,Broadband
T0016,2025-02-13,Tamil Nadu,Chennai,U1015,Female,45+,HDFC,Current,BillPay,UPI,BHIM,8056,Transfer,Yes,PMJDY,Success,Desktop,5G
T0017,2025-02-18,Rajasthan,Delhi,U1016,Female,18-24,ICICI,JanDhan,P2M,UPI,PhonePe,1296,Food,Yes,NULL,Success,Mobile,5G
T0018,2025-01-29,Karnataka,Jaipur,U1017,Male,25-34,HDFC,JanDhan,BillPay,UPI,Paytm,7743,Electronics,No,Subsidy,Success,Mobile,4G
T0019,2025-02-21,Gujarat,Delhi,U1018,Male,45+,PNB,JanDhan,P2M,UPI,Paytm,4444,Shopping,Yes,PMJDY,Success,Desktop,3G
T0020,2025-03-14,Rajasthan,Kolkata,U1019,Male,45+,Axis,Current,P2P,UPI,PhonePe,3119,Food,Yes,Subsidy,Success,Desktop,3G
T0021,2025-02-23,Delhi,Ahmedabad,U1020,Female,45+,SBI,Savings,BillPay,UPI,Paytm,3987,Transfer,No,NULL,Success,Desktop,5G
T0022,2025-03-09,Maharashtra,Ahmedabad,U1021,Male,45+,HDFC,Current,BillPay,UPI,PhonePe,8725,Electronics,Yes,NULL,Success,Desktop,4G
T0023,2025-02-27,Tamil Nadu,Kolkata,U1022,Male,45+,PNB,Current,P2M,UPI,GPay,2849,Food,Yes,Subsidy,Failed,Desktop,4G
T0024,2025-02-22,Bihar,Delhi,U1023,Male,45+,PNB,Current,BillPay,UPI,Paytm,5525,Electronics,Yes,PMJDY,Success,Mobile,5G
T0025,2025-02-10,Delhi,Delhi,U1024,Female,35-44,PNB,Savings,P2P,UPI,GPay,951,Electronics,Yes,NULL,Success,Desktop,3G
T0026,2025-01-14,West Bengal,Kolkata,U1025,Male,18-24,ICICI,Current,P2P,UPI,Paytm,3977,Shopping,No,NULL,Failed,Desktop,4G
T0027,2025-02-04,West Bengal,Kolkata,U1026,Female,45+,PNB,JanDhan,BillPay,UPI,BHIM,8567,Transfer,No,PMJDY,Success,Desktop,5G
T0028,2025-03-21,Delhi,Patna,U1027,Female,35-44,PNB,Current,P2P,UPI,BHIM,1171,Bills,Yes,NULL,Success,Mobile,3G
T0029,2025-03-10,Gujarat,Delhi,U1028,Male,18-24,PNB,Savings,P2P,UPI,GPay,568,Bills,No,PMJDY,Success,Mobile,4G
T0030,2025-01-04,Gujarat,Ahmedabad,U1029,Male,45+,ICICI,Current,BillPay,UPI,PhonePe,2327,Bills,Yes,PMJDY,Failed,Desktop,4G
T0031,2025-03-17,Karnataka,Ahmedabad,U1030,Male,35-44,PNB,JanDhan,BillPay,UPI,PhonePe,6906,Bills,No,PMJDY,Failed,Mobile,Broadband
T0032,2025-01-02,Maharashtra,Mumbai,U1031,Male,25-34,ICICI,JanDhan,P2M,UPI,PhonePe,2083,Transfer,No,NULL,Failed,Mobile,4G
T0033,2025-01-27,Rajasthan,Mumbai,U1032,Female,35-44,Axis,Current,P2P,UPI,BHIM,6924,Transfer,Yes,PMJDY,Failed,Mobile,5G
T0034,2025-03-14,Maharashtra,Patna,U1033,Female,45+,ICICI,JanDhan,BillPay,UPI,Paytm,1769,Electronics,No,NULL,Success,Desktop,5G
T0035,2025-01-10,Gujarat,Ahmedabad,U1034,Male,35-44,SBI,Savings,BillPay,UPI,PhonePe,6326,Food,No,PMJDY,Success,Desktop,5G
T0036,2025-02-02,West Bengal,Mumbai,U1035,Female,18-24,HDFC,Current,P2M,UPI,PhonePe,9648,Electronics,No,PMJDY,Success,Mobile,Broadband
